Row Labels,ProductCombo,,,,,,,,,,,,,,,,,,,,,,,,,,
#1002,7870,9150,,,,,,,,,,,,,,,,,,,,,,,,,
19135641017,5000,5009,5000,5009,,,,,,,,,,,,,,,,,,,,,,,
191567910-1002,1100,1350,6007,,,,,,,,,,,,,,,,,,,,,,,,
191567910-1004,7980,9130,9140,,,,,,,,,,,,,,,,,,,,,,,,
191567910-1005,1710,2010,6130,,,,,,,,,,,,,,,,,,,,,,,,
191567910-1007,1350,2130,6110,7780,7820,7830,,,,,,,,,,,,,,,,,,,,,
191567910-1008,8740,9110,9120,9130,,,,,,,,,,,,,,,,,,,,,,,
191567910-1011,1109,8509,,,,,,,,,,,,,,,,,,,,,,,,,
191567910-1012,4750,4757,7730,,,,,,,,,,,,,,,,,,,,,,,,
191567910-1013,6240,7820,,,,,,,,,,,,,,,,,,,,,,,,,
191567910-1014,1150,1350,1359,6130,6240,7640,,,,,,,,,,,,,,,,,,,,,
191567910-1016,2130,5709,7960,,,,,,,,,,,,,,,,,,,,,,,,
191567910-1017,7619,7800,7867,,,,,,,,,,,,,,,,,,,,,,,,
191567910-1018,2019,6207,,,,,,,,,,,,,,,,,,,,,,,,,
191567910-1019,1350,7760,,,,,,,,,,,,,,,,,,,,,,,,,
191567910-1021,7860,9180,,,,,,,,,,,,,,,,,,,,,,,,,
191567910-1022,1907,2017,,,,,,,,,,,,,,,,,,,,,,,,,
191567910-1025,2049,7749,7770,,,,,,,,,,,,,,,,,,,,,,,,
191567910-1031,1900,2040,,,,,,,,,,,,,,,,,,,,,,,,,
191567910-1032,6240,7760,,,,,,,,,,,,,,,,,,,,,,,,,
191567910-1033,1100,2040,2750,7670,7870,,,,,,,,,,,,,,,,,,,,,,
191567910-1034,1907,7607,,,,,,,,,,,,,,,,,,,,,,,,,
191567910-1038,9179,9189,,,,,,,,,,,,,,,,,,,,,,,,,
191567910-1040,7780,7820,,,,,,,,,,,,,,,,,,,,,,,,,
191567910-1042,1100,7770,,,,,,,,,,,,,,,,,,,,,,,,,
191567910-1043,1151,1350,,,,,,,,,,,,,,,,,,,,,,,,,
191567910-1044,7770,7830,9180,,,,,,,,,,,,,,,,,,,,,,,,
191567910-1046,1350,2010,,,,,,,,,,,,,,,,,,,,,,,,,
191567910-1048,1569,7789,,,,,,,,,,,,,,,,,,,,,,,,,
191567910-1049,2010,8520,,,,,,,,,,,,,,,,,,,,,,,,,
191567910-1050,2320,7610,7640,8730,,,,,,,,,,,,,,,,,,,,,,,
191567910-1051,6130,6210,,,,,,,,,,,,,,,,,,,,,,,,,
191567910-1052,7697,7747,7807,7837,,,,,,,,,,,,,,,,,,,,,,,
191567910-1053,7640,8017,,,,,,,,,,,,,,,,,,,,,,,,,
191567910-1057,2010,7660,7830,,,,,,,,,,,,,,,,,,,,,,,,
191567910-1058,2010,7640,7650,7730,7870,,,,,,,,,,,,,,,,,,,,,,
191567910-1060,5000,6117,,,,,,,,,,,,,,,,,,,,,,,,,
191567910-1061,1100,2010,,,,,,,,,,,,,,,,,,,,,,,,,
191567910-1063,5700,7980,,,,,,,,,,,,,,,,,,,,,,,,,
191567910-1069,1350,2040,5700,,,,,,,,,,,,,,,,,,,,,,,,
191567910-1070,2010,7770,,,,,,,,,,,,,,,,,,,,,,,,,
191567910-1072,2010,3350,,,,,,,,,,,,,,,,,,,,,,,,,
191567910-1073,2800,6200,,,,,,,,,,,,,,,,,,,,,,,,,
